[contents]
count=1
Name=,D:\gcms\1\data\15u_fuyaF5.D
1=,INT TIC: 15u_fuyaF5.D\data.ms
[INT TIC: 15u_fuyaF5.D\data.ms]
Time=,Fri Jul 22 15:55:57 2016
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1, 12.337, 2891,2951,3084,"BB 4",1895087,118836973, 16.30,  7.219
2=,  2, 14.449, 3451,3624,3654,"BV 4", 152404, 10020479,  1.37,  0.609
3=,  3, 14.586, 3654,3668,3705,"VV 4",  55031,  2911429,  0.40,  0.177
4=,  4, 15.056, 3769,3818,3912,"BB 6", 385325, 23451712,  3.22,  1.425
5=,  5, 16.866, 4344,4396,4426,"BV 6",  97843,  8447042,  1.16,  0.513
6=,  6, 17.094, 4426,4468,4495,"VV 7", 602144, 45268593,  6.21,  2.750
7=,  7, 17.389, 4495,4563,4605,"VV 4",9735178,729225648,100.00, 44.300
8=,  8, 17.625, 4605,4638,4686,"VV 6",1116144, 69682773,  9.56,  4.233
9=,  9, 17.937, 4686,4737,4851,"VV 6",2859121,186669355, 25.60, 11.340
10=, 10, 20.086, 5383,5423,5427,"  M6",  37513,  1973895,  0.27,  0.120
11=, 11, 20.184, 5443,5454,5487,"  M6",  46055,  2685161,  0.37,  0.163
12=, 12, 20.350, 5502,5507,5532,"  M6",  16487,   587978,  0.08,  0.036
13=, 13, 20.815, 5606,5655,5722,"BB 9",  42254,  3196493,  0.44,  0.194
14=, 14, 22.723, 6202,6264,6266,"  M9",  18823,  1100796,  0.15,  0.067
15=, 15, 22.890, 6281,6317,6350,"  M9", 259149, 18556083,  2.54,  1.127
16=, 16, 23.118, 6351,6390,6456,"  M7",1105153, 82392477, 11.30,  5.005
17=, 17, 23.429, 6460,6489,6515,"  M7",  23807,  1478656,  0.20,  0.090
18=, 18, 23.707, 6531,6578,6719,"BB 5", 690186, 52920019,  7.26,  3.215
19=, 19, 26.576, 7419,7493,7685,"BB 6",1377271,116540164, 15.98,  7.080
20=, 20, 28.332, 8025,8053,8079,"  M6",  14055,  1005752,  0.14,  0.061
21=, 21, 28.868, 8157,8224,8317,"BB 6",  50979,  5781904,  0.79,  0.351
22=, 22, 29.409, 8318,8397,8548,"BB 9", 311858, 37220697,  5.10,  2.261
23=, 23, 33.777, 9741,9790,9872,"BV 9",  72911,  6866395,  0.94,  0.417
24=, 24, 34.755, 9998,10102,10205,"BB 9",  87780,  8196927,  1.12,  0.498
25=, 25, 37.337, 10792,10926,11183,"BB 7", 933947,111104601, 15.24,  6.749
